,tunes
0,"F4D4D4D4|EFG2F2EFd4d2AG|G2ABE2DED2E2D2F2|E2A2G2E2D4D4||F2E2D4D4B,DED|F2G2F4d4d2A2|G2A2E2DED2E2D2F2|E2A2G2E2D4D4||A4A2B2B4E2AG|G2A2A2d2GFd2d2A2|GFB2A2d2d4G2B2|G2A2G2E2D4D4||A2GAA2B2B4E2A2|G2A2A2d2G2d2d2A2|G2A2B2d2d4G2d2|A4G2E2D4D4"
1,F2E2E2G2AG3G2F2|EFD2D4E4G4|FEGAAGABB2A2BA3|d2ABE4A2G2G4||F2E2E2G2A2G2G2F2|F2D2D4E4FG3|E2DEGFG2GA2GdAG2|G2A2A2F2G4G4||d4d4A2G2F2G2|G4G2F2G2A2A2d2|d4d3BBAG2G4|G2A2G2E2A2G2G4||d4d4A2G2F2G2|G4G2F2G2A2A2d2|d2ABAB2AG2B2d4|A2G2G2E2G4G3A
2,"D3B,D2EDFGEDG2D2|E2D2D2E2E2D2D4|F2D2D4E2FEG2D2|dBA2G2BAA2E2A2G2||D2B,2D2FEG2E2G2D2|E2D2D2E2E2D2D4|FED2D4E2F2G2D2|B2A2AGA2GAG2A2GA||A4A2d2e2d2d2B2|A2d2d4A2d2d2A2|d2G2F2ABe2d2d2A2|A4G2BAA2E2G4||A4A2d2d4d4|d4e2d2A2d2d2B2|d2e2g2e2e2g2e2d2|e2d2B4A4A2G2"
3,fe2fg2e2d4B2e2|G2B2d2e2ed3d4|ga2ggag2e2feefg2|g2f2fed2d2g2dBd2||f2efg2e2d4dBe2|G2B2d2e2e2d2d4|a2b2aba2g2a2aga2|g3ff2ded4ge3||feded'be2g4a2f2|e2f2a2g2e2d2d2e2|gafeb2e2a2gabade|agf2g2e2d4f2e2||fe3bae2a2g2a4|agb2a2f2e2d2d2e2|a2g2g4g4a3g|gfg2f2e2e2ded3e
4,d4d2B2BAGAAGB2|d2D2A2F2d2A2A2B2|BAd2d2B2d2A2d4|e3de2d2d4e4||d4d2B2A2GAA4|d2D2A2F2d2A2A2B2|B2d2d4d4e4|e4e2d2d4e2d2||d4d4e4d4|B2AGd4e2d2ded2|A2d2d4f2e2g2e2|e2d2f2d2d4e4||d4d4e2d2d4|B2A2d4e2d2d2e2|g4f2a2b2a2b4|fgf2d4d4de3
5,d4d4d4A2B2|G2B2BABdd2gfg2fe|a2g2ed3G2d2A2d2|e2agg3ffeg2g4||aba2g2e2d2B2A2Bd|G2A2d4e2fef2g2|g2dee2d2G2BddBA2|A2d2A2B2A2B2d4||deg2gab2g2a2g2a2|a2g2a2gff2e2d4|d2g2g2b2a2d'2d'4|abd'be2f2d3ed2e2||f2a2a2d'2b2a2g2a2|b2a2d'2g2e4d4|e2g2e2g2e4ed3|d4d2g2a2b2a2f2
6,d4fg2edegdeae2|degAdbgeBedAAd2A|ed3feded2Add3f|gdeffdAbf2egd3e||de2dde2de2aefadf|ed2GgfgadAd2A2Bd|dBdAg2d2dAd2ed3|gfgdadfbfedGgde2||fge2e3bd'2bd'd'a2d'|d'b2d'd'bd'deg2eAB2d|dafabageba2bd'afa|bd'ad'd'3dgdedd4||d2efb2ad'a2d'2d'2a2|a3d'd'3ge2d2A3d|Ae2ba2d'agag2fgd'2|ga2d'abd'efef2d4
7,B4d2G2d2F2G4|A2dBA2F2G2E2FEG2|A2GAB2E2B2E2G2D2|G2B2G2F2D4E2D2||B4d2G2d2F2G4|A2d2A2F2G2E2E2G2|A2G2B2E2dBEFG2D2|G2B2G2F2DED2D2A2||d2e2f2e2d2B2G2B2|A2f2e4e2g2b2g2|f2e2e2d2d2G2F2G2|F2B2A2F2E2D2D2d2||d2e2f2e2d2B2A2B2|dBf2e4e2g2b2g2|f2g2e2d2d2G2F2G2|G2B2G2F2E2D2D4
8,fef2g2f2de3g2f2|d2edfg2efafefge2|ge2fgf2ef2a2a2ga|fe3d2e2f2A2dB3||gfgfg2f2d2e2g2f2|d4geg2g2efd2e2|gedebgefgfd'ag4|edfed2gff2A2dB3||g3ad'2f2e2f2a2g2|d4a2fgagf2feg2|abg2d'2feb2efd'2ga|ed3B2d2d2A2B2d2||a2b2d'4d'2a2g2fg|e2d2deg2a2e2ede2|a2g2ad'2aabd'2d'bg2|a3ba2d'2d'2fee2d2
9,e4e2d2G2d2e2d'b|g2f2f2g2g2e2efe2|f2d2g2e2g2fga2d'2|a4g2e2d4d4||e4e2d2G2d2e2d'b|g2f2g2fgg2e2e2fe|efd2g2e2gfe2bad'2|ba3g2e2d4d4||d'bd'2d'2b2g4g4|bd'3a2g2f2d2d4|bd'3gad'2b2d'2a2g2|a2b2g2f2d4d4||d'4d'2a2a2g2f2g2|d'4a2g2f2d2d4|d'bd'2a2d'2b2d'2a4|g2a2g2e2d4d4
10,"FE2FF2E2E2D2D2A,B,|A,2B,2D4D2A,2A,2D2|D3EE2D2D4DEB,2|EDE2A,2D2D4DB,2D||EFE2F2E2E2D2D2A,B,|A,2D2D4D2A,2A,2D2|D2E2E2DEDE2DB,DA,B,|D4E2DED4A,2D2||D2G2GFG2G2D2F4|D2E2A2d2d2B2d2A2|E4FED2D4B2G2|E2F2D2E2D4D2E2||D2G2F2A2A2D2E2F2|G4GFd2d2B2B2G2|E2A2F2G2F2D2ED3|D4D4D2A,2A,2G,2"
11,d2B2d2A2d2ABFEA2|A2d2A2G2E2D2D2ED|d3Bd2G2A2G2A2d2|A2d2dB3B2d2A2d2||d2B2d2A2d2ABF2A2|AGd2A2G2E2D2D2ED|e2d2d4ded2d4|d2feg2d2Ad3gefe||fgd2b2e2g2d2g2d2|d4e2d2A2G2G2B2|bd'G2a2AdedA2ed2e|g2d2d4B2A2ag2a||f2eda2e2g2d2g2d2|d2fee2d2A2G2A4|g2d2d2e2BdA2d4|dBefg2d2d4ed3
12,f4f2e2d2Bdd4|d4d2e2e2d2B2d2|g2f2f2d2B2d2e2g2|agf2e2d2e2gfe3d||g2f2f2e2d2Bdd4|d4d2e2e2d2B2d2|g2f2e2d2B2d2e2g2|a2f2e2d2e2g2e4||g2a2d'2b2f2a2aba2|fgf2e2g2d2f2g4|d'bd'2d'2b2f2a2a2d'2|gag2e2d2d2e2e4||g2b2d'4gfagb2a2|fgf2e2g2d2f2fg3|d'4d'2gagfd2f2ed|fg3f2d2e2a2g2e2
13,d3ed3BG2B2d2AB|d2e2e4efe2d4|de2dd2A2F2A2A2F2|G2B2d4A4A4||g2ded2ABAGB2d2B2|d2e2e4efe2d4|d3ed2ABFEA2A2F2|G2B2A2G2E2F2G2FG||d2e2g2a2e3dd4|BAd2e2d2gfe2e2d2|e2f2a2e2d4g4|d2gff2efd2efefg2||efg2a2b2a2e2efa2|d'2a2b2a2fed2d3e|e2f2a4a2f2agd2|e2d2d2g2agd2d4
14,"D4DFBAG4G4|E3DEFAGGA2GE2D2|ED3ED2FGFGAd2Bd|BGEGD2E2E2D2E4||D2B,A,D2B2A2G2G3A|E2D2GFABG2AGD4|D4EFDEE4FG3|GFBdd2AdG4dBd2||d4d4dBA2F4|D4E2G2F2ABA4|e2fgF2dBAdABGFE2|GFE2EDE2E2D2d2g2||d4d4BdA2G2E2|D4F2G2EFA2G2E2|GFd2B3AFG2AE2d2|G2A2A2D2D4E3F"
15,A4B2g2e2d2B2d2|d3BABd2de2dd2A2|A4A2d2A2G2GF3|A2d2d4d2G2G4||B2G2dBg2e2d2B3d|d2ABed3d4dBA2|A2GABAd2AG3G2F2|A2d2d4d2G2G4||gfbd'g4f2e2d2e2|efg2g2dBd2e2f2A2|d4d2e2d3ed2a2|fge2d4d2G2G4||aga2g4g2e2de3|f2g2efd2d2e2e2A2|d4d2e2d4g4|g2e2d4d2G2G4
16,d4d2e2g2e2d4|d4e4d2B2A2B2|d2e2d2e2g2e2ede2|abd'2a2f2e2d2d4||d4d2e2g2e2d4|B2d2e4d2B2A2B2|d2e2d2e2g2e2e4|b3d'a2f2e2d2d4||a4b2a2ag3g4|d'4d'4a2g2e2f2|a2d'2d'2a2g2f2f2g2|ad'3a2f2e2d2d4||a4b2a2a2g2gag2|d'4d'4a2g2f2e2|e2agg2e2e4f2g2|bd'3a2f2ded2d4
17,d4f2d2d4A2E2|E2F2A4B2d2d2e2|gfg2fed2d4d4|e4ge2ggf3d2ed||d4f2d2d4A2EF|E2FGA4d4d2fe|g2f2g2efe2deB2d2|d2gfafege2dBge3||a2g2a2g2a2d'2g2f2|a2gaa2f2g2e2f2ef|d'2g2g2e2f2g2fega|aba2ag2ee2d2e4||a2g2g4d'2b2f4|d'2b2g2e2g2f2f2e2|b2g2g2a2fge2d3e|dea2a2gede3d3e
18,d2A2G4A4GFGA|A2G2F2D2E2G2A2Bd|d2B2F2G2GA3G2E2|B2d2A2d2d2e2fef2||d2A2G4A4G4|B2G2EFD2E2G2A2d2|d2ABG2A2GABAG2E2|B2d2A2d2d2e2e2de||d4e2d2d2A2G2d2|d2e2f2e2d2B2d4|d2A2G2A2d2G2B2G2|G2A2A2d2d2e2e2d2||d4e2d2d2A2G2d2|d2e2g2e2d2B2d4|d4B2d2d2A2A2G2|G2A2B2d2d2e2e4
